song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
Boulevard of Broken Dreams,73,262333,0.0055200000000000006,0.496,0.68200000000000005,2.94e-05,8,0.058900000000000001,-4.0949999999999998,1,0.029399999999999999,167.06,4,0.47399999999999998
In The End,66,216933,0.0103,0.54200000000000004,0.85299999999999998,0,3,0.10800000000000001,-6.407,0,0.049799999999999997,105.256,4,0.37
Seven Nation Army,76,231733,0.0081700000000000002,0.73699999999999999,0.46299999999999997,0.44700000000000001,0,0.255,-7.8279999999999994,1,0.079200000000000007,123.881,4,0.32400000000000001
By The Way,74,216933,0.0264,0.45100000000000001,0.96999999999999997,0.0035500000000000002,0,0.10199999999999999,-4.9379999999999997,1,0.107,122.444,4,0.19800000000000001
How You Remind Me,56,223826,0.00095399999999999988,0.44700000000000001,0.7659999999999999,0,10,0.113,-5.0650000000000004,1,0.031300000000000001,172.011,4,0.57399999999999995
Bring Me To Life,80,235893,0.0089499999999999996,0.316,0.94499999999999995,1.8500000000000001e-06,4,0.39600000000000002,-3.1689999999999996,0,0.124,189.93099999999998,4,0.32000000000000001
Last Resort,81,199893,0.000504,0.58099999999999996,0.88700000000000001,0.0011099999999999999,4,0.26800000000000002,-3.6589999999999998,0,0.062399999999999997,90.577999999999989,4,0.72400000000000009
Are You Gonna Be My Girl,76,213800,0.00148,0.61299999999999999,0.95299999999999996,0.00058200000000000005,2,0.152,-3.4350000000000001,1,0.085500000000000007,105.04600000000001,4,0.53700000000000003
Mr. Brightside,80,222586,0.00108,0.33000000000000002,0.93599999999999994,0,1,0.092600000000000002,-3.6600000000000001,1,0.091700000000000004,148.11199999999999,4,0.23399999999999999
Sex on Fire,81,203346,0.00172,0.54200000000000004,0.90500000000000003,0.0104,9,0.13600000000000001,-5.6529999999999996,1,0.054000000000000006,153.398,4,0.374
The Middle,78,168253,0.0424,0.629,0.89700000000000002,0,2,0.26300000000000001,-3.4010000000000002,1,0.048300000000000003,161.94399999999999,4,0.93000000000000005
Numb,63,185586,0.0045999999999999999,0.496,0.86299999999999999,0,9,0.63900000000000001,-4.1530000000000005,1,0.038100000000000002,110.01799999999999,4,0.24299999999999999
Smooth Criminal,75,209266,0.0043400000000000001,0.64700000000000002,0.96400000000000008,0.0035999999999999999,9,0.14999999999999999,-4.2249999999999996,0,0.059999999999999998,126.94200000000001,4,0.875
Can't Stop,81,269000,0.017899999999999999,0.61799999999999999,0.93799999999999994,0,9,0.16699999999999998,-3.4419999999999997,1,0.045600000000000002,91.454999999999998,4,0.875
Chop Suey!,69,210240,0.00035299999999999996,0.41999999999999998,0.92900000000000005,0.00074699999999999994,7,0.122,-3.8989999999999996,0,0.121,127.20399999999999,4,0.29999999999999999
Take Me Out,77,237026,0.00042300000000000004,0.27800000000000002,0.67599999999999993,0.00089900000000000006,9,0.13600000000000001,-8.8209999999999997,1,0.037100000000000001,104.545,4,0.49399999999999999
I Miss You,71,227240,0.0013599999999999999,0.65900000000000003,0.77800000000000002,6.7900000000000002e-06,11,0.084099999999999994,-6.4229999999999992,1,0.037900000000000003,110.02200000000001,4,0.623
Best of You,62,256600,0.0070099999999999997,0.37,0.94400000000000006,2.8999999999999998e-06,1,0.13500000000000001,-4.9790000000000001,0,0.076700000000000004,130.315,4,0.34499999999999997
I Write Sins Not Tragedies,77,187613,0.093799999999999994,0.56700000000000006,0.79500000000000004,0,9,0.114,-4.9850000000000003,0,0.13400000000000001,170.06,4,0.63500000000000001
Kryptonite,79,233933,0.0066400000000000009,0.54500000000000004,0.86499999999999999,1.1199999999999999e-05,11,0.16800000000000001,-5.7079999999999993,0,0.0286,99.010000000000005,4,0.54299999999999993
The Kill (Bury Me),69,231533,0.0014,0.309,0.91200000000000003,0.00027099999999999997,4,0.58200000000000007,-3.8810000000000002,0,0.064600000000000005,183.035,3,0.30199999999999999
Use Somebody,79,230760,0.0055200000000000006,0.27600000000000002,0.71499999999999997,0.000417,0,0.20100000000000001,-5.3559999999999999,1,0.043200000000000002,137.02799999999999,4,0.17300000000000001
No One Knows,13,255066,0.0137,0.51800000000000002,0.53799999999999992,0.00039800000000000002,0,0.14099999999999999,-5.8179999999999996,1,0.048599999999999997,170.953,4,0.68700000000000006
Jerk It Out,62,195666,0.017100000000000001,0.57999999999999996,0.98099999999999998,1.0699999999999999e-05,8,0.38600000000000001,-2.6030000000000002,0,0.059999999999999998,134.00700000000001,4,0.86099999999999999
Uprising,77,304840,0.000202,0.60199999999999998,0.90500000000000003,0.064000000000000001,2,0.11699999999999999,-4.0460000000000003,1,0.077499999999999999,128.01900000000001,4,0.41100000000000003
Hey There Delilah,79,232533,0.872,0.65700000000000003,0.29100000000000004,0,2,0.114,-10.572000000000001,1,0.0293,103.973,4,0.29799999999999999
